epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,14423.8,0.97368,0.63298,1.19604,0.94574,0.91207,0.95474,0.65856,1.16263,0.56364,1.29411,0.002806,0.002806,0.002806
111,14547.8,0.98023,0.64412,1.20055,0.93647,0.91415,0.95841,0.6617,1.16181,0.56087,1.29637,0.00274,0.00274,0.00274
112,14677.4,0.9861,0.64715,1.20781,0.93257,0.91122,0.95951,0.66308,1.16405,0.55891,1.3025,0.002674,0.002674,0.002674
113,14806.9,0.96911,0.62861,1.19076,0.93077,0.91187,0.95828,0.66117,1.15994,0.55686,1.29823,0.002608,0.002608,0.002608
114,14936.7,0.9802,0.63583,1.19781,0.93059,0.90942,0.95899,0.65911,1.15303,0.55256,1.29335,0.002542,0.002542,0.002542
115,15067.2,0.95764,0.62107,1.19231,0.93429,0.91473,0.95976,0.66241,1.15579,0.55567,1.29968,0.002476,0.002476,0.002476
116,15190.9,0.96053,0.62066,1.18952,0.93609,0.9083,0.95966,0.66067,1.16359,0.55689,1.30524,0.00241,0.00241,0.00241
117,15318.1,0.9592,0.6203,1.18214,0.93419,0.91085,0.95601,0.66054,1.16754,0.55693,1.3065,0.002344,0.002344,0.002344
118,15451.1,0.95589,0.62354,1.19157,0.92632,0.91473,0.95706,0.66102,1.16656,0.56032,1.30375,0.002278,0.002278,0.002278
119,15583.4,0.94993,0.62616,1.1784,0.92723,0.91369,0.95463,0.66069,1.16198,0.56071,1.29904,0.002212,0.002212,0.002212
120,15715,0.9473,0.61005,1.17701,0.92978,0.91085,0.95444,0.6623,1.16049,0.56062,1.29722,0.002146,0.002146,0.002146
121,15846.8,0.95101,0.61621,1.18121,0.93277,0.91424,0.95451,0.66302,1.16324,0.56321,1.29763,0.00208,0.00208,0.00208
122,15981.3,0.93162,0.59652,1.16808,0.93561,0.91279,0.95188,0.662,1.16386,0.56792,1.29979,0.002014,0.002014,0.002014
123,16113.4,0.93892,0.61178,1.16737,0.9351,0.9031,0.95172,0.66266,1.16826,0.57008,1.30331,0.001948,0.001948,0.001948
124,16244.8,0.93688,0.60603,1.17347,0.91988,0.91228,0.94888,0.65958,1.16819,0.57132,1.30522,0.001882,0.001882,0.001882
125,16383.1,0.93222,0.60686,1.16719,0.92194,0.91667,0.94824,0.65903,1.17075,0.56882,1.30779,0.001816,0.001816,0.001816
126,16520.4,0.93229,0.59175,1.1673,0.92,0.91473,0.94803,0.65444,1.17043,0.56565,1.30814,0.00175,0.00175,0.00175
127,16657.5,0.93243,0.59683,1.1705,0.93526,0.90698,0.94971,0.65683,1.16976,0.56448,1.30849,0.001684,0.001684,0.001684
128,16796,0.92225,0.58847,1.16062,0.93933,0.90013,0.94953,0.65581,1.16775,0.56628,1.30789,0.001618,0.001618,0.001618
129,16937.9,0.91296,0.5846,1.16354,0.9125,0.92248,0.94974,0.6555,1.16904,0.5639,1.31117,0.001552,0.001552,0.001552
